city,country,state,suburb,lat,long,date,name,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source,DAPR,MDPR,PRCP,SNOW
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-02,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,7.0,13.0,,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-08,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,6.0,18.0,,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-09,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-15,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,6.0,5.0,,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-16,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-22,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,6.0,15.0,,
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-23,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-24,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-25,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-26,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
Cheyenne,United States,Wyoming,,40.943,-105.079,2020-10-27,WELLINGTON,Cheyenne,US,USA,admin,79484.0,1840018713,worldcities_small,,,0.0,0.0
