city,country,state,suburb,lat,long,date,name,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source,PRCP,SNWD,TMAX,TMIN
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-15,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.78,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-16,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.68,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-17,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.06,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-18,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.18,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-19,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.28,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-20,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.0,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-21,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.38,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-22,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.0,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-23,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.94,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-24,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.36,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-25,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.12,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-26,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.2,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-27,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,5.74,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-28,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,3.88,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-29,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.04,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-04-30,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,2.78,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-01,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.68,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-02,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,1.74,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-03,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.96,0.0,,
Borås,Sweden,Västra Götaland,,57.39,13.53,2020-05-04,HESTRA,Boras,SE,SWE,minor,65008.0,1752555835,worldcities_small,0.0,0.0,,
