lat,long,city,country,state,suburb,city_ascii,iso2,iso3,capital,population,worldcities_id,data_source
-53.778,-67.749,Río Grande,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",,Rio Grande,AR,ARG,minor,31095.0,1032824067,worldcities_small
-54.843,-68.296,Ushuaia,Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",,Ushuaia,AR,ARG,admin,56956.0,1032847885,worldcities_small
-16.288,149.965,Pacific Ocean,Remote Area,"Coordinates: -16.29°, 149.97°",,Pacific Ocean,,,,,,geographic_region
-31.542,159.079,Lord Howe Island,Australia,New South Wales,,,AU,,,,,nominatim
-54.499,158.937,Remote Southern Region,Remote Area,"Coordinates: -54.50°, 158.94°",,Remote Southern Region,,,,,,geographic_region
-15.51,128.1503,Wyndham,Australia,Western Australia,,Wyndham,AU,AUS,,780.0,1036474435,worldcities_small
-13.7542,126.1485,Pacific Ocean,Remote Area,"Coordinates: -13.75°, 126.15°",,Pacific Ocean,,,,,,geographic_region
-14.7883,126.4964,Pacific Ocean,Remote Area,"Coordinates: -14.79°, 126.50°",,Pacific Ocean,,,,,,geographic_region
-15.4872,128.1247,Wyndham,Australia,Western Australia,,Wyndham,AU,AUS,,780.0,1036474435,worldcities_small
-15.9078,128.1289,Pacific Ocean,Remote Area,"Coordinates: -15.91°, 128.13°",,Pacific Ocean,,,,,,geographic_region
-16.4181,126.1025,Pacific Ocean,Remote Area,"Coordinates: -16.42°, 126.10°",,Pacific Ocean,,,,,,geographic_region
-14.2964,126.6453,Kalumburu,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-14.09,126.3867,Pacific Ocean,Remote Area,"Coordinates: -14.09°, 126.39°",,Pacific Ocean,,,,,,geographic_region
-16.0086,127.9806,Pacific Ocean,Remote Area,"Coordinates: -16.01°, 127.98°",,Pacific Ocean,,,,,,geographic_region
-15.9572,127.0628,Pacific Ocean,Remote Area,"Coordinates: -15.96°, 127.06°",,Pacific Ocean,,,,,,geographic_region
-15.3797,126.3114,Pacific Ocean,Remote Area,"Coordinates: -15.38°, 126.31°",,Pacific Ocean,,,,,,geographic_region
-15.7025,126.3786,Pacific Ocean,Remote Area,"Coordinates: -15.70°, 126.38°",,Pacific Ocean,,,,,,geographic_region
-15.6394,128.0803,Wyndham,Australia,Western Australia,,Wyndham,AU,AUS,,780.0,1036474435,worldcities_small
-15.7231,127.8297,Pacific Ocean,Remote Area,"Coordinates: -15.72°, 127.83°",,Pacific Ocean,,,,,,geographic_region
-13.96,127.1964,Pacific Ocean,Remote Area,"Coordinates: -13.96°, 127.20°",,Pacific Ocean,,,,,,geographic_region
-15.5969,128.2781,Wyndham,Australia,Western Australia,,Wyndham,AU,AUS,,780.0,1036474435,worldcities_small
-16.5039,128.9172,Pacific Ocean,Remote Area,"Coordinates: -16.50°, 128.92°",,Pacific Ocean,,,,,,geographic_region
-15.4864,128.5344,Kununurra,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-16.4203,126.4411,Ngallagunda,Australia,Western Australia,Shire Of Wyndham-East Kimberley,,AU,,,,,nominatim
-18.2292,127.6636,Halls Creek,Australia,Western Australia,,Halls Creek,AU,AUS,,1546.0,1036444511,worldcities_small
-18.3869,126.9892,Pacific Ocean,Remote Area,"Coordinates: -18.39°, 126.99°",,Pacific Ocean,,,,,,geographic_region
-18.016,126.3033,Pacific Ocean,Remote Area,"Coordinates: -18.02°, 126.30°",,Pacific Ocean,,,,,,geographic_region
-18.0308,128.8942,Pacific Ocean,Remote Area,"Coordinates: -18.03°, 128.89°",,Pacific Ocean,,,,,,geographic_region
-18.5958,127.6419,Billiluna,Australia,Western Australia,Shire of Halls Creek,,AU,,,,,nominatim
